period,n,sen_slope,intercept,p_value,trend,significant_p_lt_0_05
Annual,30,0.05025440313111521,-57.49090019569422,0.5558768367126703,no trend,False
Vetur,30,-0.03645604395604396,99.40868650793652,0.7752944295177846,no trend,False
Vor,30,0.47792490118577097,-922.8987944664035,0.0005226013164423282,increasing,True
Sumar,30,0.11032608695652149,-154.13940217391254,0.7752944295177846,no trend,False
Haust,31,-0.024065934065933922,90.00087912087884,0.8918439412522505,no trend,False
