YYYY;MM;DD;qobs;qc_flag
1983;2;23;25.97;40
1983;2;24;20.8;40
1983;2;25;20.33;40
1983;2;26;35.83;40
1983;2;27;32.9;40
1983;2;28;23.79;40
1983;3;1;72.76;40
1983;3;2;85.01;40
1983;3;3;37.86;40
1983;3;4;28.31;40
1983;3;5;25.97;40
1983;3;6;24.32;40
1983;3;7;23.79;40
1983;3;8;24.32;40
1983;3;9;21.76;40
1983;3;10;16.65;120
1983;3;11;16.44;120
1983;3;12;20.33;40
1983;3;13;23.79;40
1983;3;14;21.76;40
1983;3;15;19.87;40
1983;3;16;19.87;40
1983;3;17;17.67;120
1983;3;18;16.86;120
1983;3;19;16.8;120
1983;3;20;16.48;120
1983;3;21;16.42;120
1983;3;22;16.4;120
1983;3;23;18.0;40
1983;3;24;16.1;120
1983;3;25;16.02;120
1983;3;26;15.94;120
1983;3;27;16.51;40
1983;3;28;16.13;40
1983;3;29;16.13;40
1983;3;30;15.02;40
1983;3;31;14.67;40
1983;4;1;15.38;40
1983;4;2;15.02;40
1983;4;3;12.37;40
1983;4;4;14.67;40
1983;4;5;16.91;40
1983;4;6;15.75;40
1983;4;7;15.38;40
1983;4;8;15.38;40
1983;4;9;15.02;40
1983;4;10;15.02;40
1983;4;11;15.02;40
1983;4;12;14.67;40
1983;4;13;15.02;40
1983;4;14;14.67;40
1983;4;15;14.32;40
1983;4;16;13.98;40
1983;4;17;13.64;40
1983;4;18;14.21;120
1983;4;19;14.13;120
1983;4;20;14.07;120
1983;4;21;14.0;120
1983;4;22;13.92;120
1983;4;23;13.98;40
1983;4;24;13.98;40
1983;4;25;13.98;40
1983;4;26;13.98;40
1983;4;27;13.98;40
1983;4;28;14.32;40
1983;4;29;14.32;40
1983;4;30;14.32;40
1983;5;1;14.67;40
1983;5;2;14.32;40
1983;5;3;14.67;40
1983;5;4;15.38;40
1983;5;5;15.75;40
1983;5;6;16.51;40
1983;5;7;17.31;40
1983;5;8;17.71;40
1983;5;9;20.33;40
1983;5;10;26.11;120
1983;5;11;29.02;120
1983;5;12;17.71;40
1983;5;13;19.87;40
1983;5;14;21.27;40
1983;5;15;22.75;40
